pnode_id,pnode_name,pnode_subtype,pnode_zone,sub_id,sub_name,sub_city,sub_state,sub_max_volt,sub_lat,sub_lng,match_score
41935423,HOCKING 138 KV  T1,LOAD,AEP,160677,ANCHOR HOCKING,WINCHESTER,IN,69,40.17349933300005,-84.97156408999996,100
48933999,MORELAND138 KV  MORELAND,LOAD,AEP,153968,MORELAND,WOOSTER,OH,-999999,40.71072287100003,-81.89212059799996,100
48934089,TEXAS E 69 KV   TEXAS E,LOAD,DAY,147022,TEXAS EASTERN 5,LEMONT FURNACE,PA,138,39.92995403100008,-79.67066258399996,83.33333333333333
48934089,TEXAS E 69 KV   TEXAS E,LOAD,DAY,155777,TEXAS EASTERN,GUILFORD TWP,PA,138,39.891090674000054,-77.67992587599997,83.33333333333333
53048721,ROZELLE 138 KV  T1,LOAD,AEP,137538,ROCHELLE,CINCINNATI,OH,138,39.13455974500005,-84.51012501399998,85.0
57967549,WESTAR  138 KV  LOAD1,LOAD,AEP,146399,WESTRAVER,WEST NEWTON,PA,138,40.193947999000045,-79.77130144999995,85.0
57967549,WESTAR  138 KV  LOAD1,LOAD,AEP,154007,STAR,WADSWORTH,OH,345,41.010952866000025,-81.69759515399994,80.0
1084384000,SANDERSO138 KV  WEBSTER,LOAD,AEP,112891,WEBSTER,DAYTON,OH,138,39.792993065000076,-84.17779868499997,100
61482253,OTTER   138 KV  LOAD1,LOAD,AEP,146591,OTTER CREEK,BROGUE,PA,230,39.86442866300007,-76.45382947899998,100
61482253,OTTER   138 KV  LOAD1,LOAD,AEP,146691,OTTER RIVER,HURT,VA,115,37.05422683100005,-79.25305613699999,100
61482253,OTTER   138 KV  LOAD1,LOAD,AEP,146693,OTTER,ALTAVISTA,VA,138,37.14295547800003,-79.28041261199996,100
93353447,SATURN  138 KV  INDIANCR,LOAD,AEP,122643,SATURN,COLUMBIA CITY,IN,138,41.06235703900006,-85.37396909299997,100
93353553,02FREY  138 KV  TR1,LOAD,ATSI,148672,FREY,NORTHWOOD,OH,138,41.59010941200006,-83.44970844799997,85.0
93353607,02LARK  138 KV  TR71,LOAD,ATSI,148686,LARK,MAYFIELD VILLAGE,OH,138,41.53962406100004,-81.44699624099997,85.0
93353777,HICKRY  138 KV  TR71,LOAD,ATSI,147040,HICKORY,CHESAPEAKE,VA,230,36.64364792300006,-76.23691794299998,92.3076923076923
93353803,KEITH   138 KV  TR71,LOAD,ATSI,152386,KEITH,WARRENSVILLE HEIGHTS,OH,138,41.437690684000074,-81.49588432299998,100
93353807,KELLY   138 KV  TR71,LOAD,ATSI,137112,KELLY,WARRENSVILLE HEIGHTS,OH,-999999,41.42854154400004,-81.53774922099996,100
93353807,KELLY   138 KV  TR71,LOAD,ATSI,160612,KELLY CREEK,BLOUNT,WV,69,38.26657980500005,-81.37223706699996,100
93353819,KEPLER  138 KV  TR71,LOAD,ATSI,152337,KEPLER,LYNDHURST,OH,138,41.500330864000034,-81.47981717399995,100
93353827,LAMONT  138 KV  TR71,LOAD,ATSI,146336,ELMONT,GLEN ALLEN,VA,500,37.69779580000005,-77.48471146699995,83.33333333333333
93353827,LAMONT  138 KV  TR71,LOAD,ATSI,151012,BELMONT,YOUNGSTOWN,OH,-999999,41.10530269100008,-80.65597869599998,76.92307692307692
93353827,LAMONT  138 KV  TR71,LOAD,ATSI,153839,BELMONT,SAINT MARYS,WV,765,39.34476495200005,-81.30863969199999,76.92307692307692
93353833,LESTER  138 KV  TR71,LOAD,ATSI,152339,LESTER,SOLON,OH,138,41.39520158000005,-81.45515077099998,100
93353833,LESTER  138 KV  TR71,LOAD,ATSI,146436,KEISTER,SLIPPERY ROCK,PA,138,41.05941825700006,-80.03268005699994,81.92307692307692
98369931,MINERD1 138 KV  COAVILL,LOAD,AEP,146362,MINE ROAD,FREDERICKSBURG,VA,115,38.250285904000066,-77.47591398399999,75.0
98370039,BRIGTN  138 KV  LD1,LOAD,ATSI,147330,BURLINGTON,ROANOKE,VA,138,37.36126086500008,-79.96992234499999,80.0
98370063,CLAYOE  138 KV  TR1,LOAD,ATSI,146517,CLAY,FRANKLIN TWP,PA,230,39.76307258800006,-75.82636031599998,80.0
98370097,EPWORTH 138 KV  TR1,LOAD,ATSI,151774,ELLSWORTH,CANFIELD,OH,-999999,41.02009255300004,-80.85789973799996,75.0
98370101,EVANSOE 138 KV  TR1,LOAD,ATSI,152327,EVANS,AKRON,OH,138,41.094142318000024,-81.47387975299995,88.33333333333333
98370175,MOOREOE 138 KV  TR1,LOAD,ATSI,144634,MONROE,MONROE,MI,120,41.91938996700003,-83.38577659899994,76.92307692307692
