pnode_id,pnode_name,pnode_subtype,pnode_voltage,sub_id,sub_name,sub_city,sub_state,sub_max_volt,sub_lat,sub_lng,match_score
51242,MOUNTAIN CT 1,AGGREGATE,,147790,BENT MOUNTAIN,BENT MOUNTAIN,VA,138,37.17836790300004,-80.11946680499994,76.92307692307692
51242,MOUNTAIN CT 1,AGGREGATE,,125613,MOUNTAIN,MT HOLLY SPRINGS,PA,115,40.12302923000004,-77.17270045699996,76.19047619047619
51243,ORRTANNA CT,AGGREGATE,,125615,ORRTANNA,HIGHLAND TWP,PA,115,39.844431403000044,-77.35100879699996,84.21052631578947
51244,PAXTON,AGGREGATE,,146986,AXTON,AXTON,VA,-999999,36.63514933600004,-79.70719375599998,90.9090909090909
51244,PAXTON,AGGREGATE,,147028,AXTON,AXTON,VA,765,36.63455030700004,-79.70477890099994,90.9090909090909
51247,PINEY 1,AGGREGATE,,123531,PINEY,PINEY TWP,PA,115,41.19122140200005,-79.43637810699994,83.33333333333334
51247,PINEY 1,AGGREGATE,,152383,PINE,AKRON,OH,138,41.108400912000036,-81.58211072199998,72.72727272727273
51253,SAYREVILLE 4,AGGREGATE,,140895,SAYREVILLE,SAYREVILLE,NJ,500,40.47418398600007,-74.35333330699996,90.9090909090909
51253,SAYREVILLE 4,AGGREGATE,,140903,SAYREVILLE,SAYREVILLE,NJ,230,40.479221841000026,-74.35357566299996,90.9090909090909
51253,SAYREVILLE 4,AGGREGATE,,144026,SAVILLE,CRUM LYNNE,PA,138,39.85614097100006,-75.34581623599996,73.6842105263158
51254,SAYREVILLE CT 1,AGGREGATE,,140895,SAYREVILLE,SAYREVILLE,NJ,500,40.47418398600007,-74.35333330699996,80.0
51254,SAYREVILLE CT 1,AGGREGATE,,140903,SAYREVILLE,SAYREVILLE,NJ,230,40.479221841000026,-74.35357566299996,80.0
51256,SEWARD 4,AGGREGATE,,147690,SEWARD,SEWARD,PA,230,40.406635735000066,-79.03108177099995,85.71428571428572
51257,SHAWNEE CT,AGGREGATE,,143611,SHAWNEE,EAST STROUDSBURG,PA,230,41.06024402400004,-75.05968735099998,82.35294117647058
51257,SHAWNEE CT,AGGREGATE,,153905,SHAWNEE ROAD,LIMA,OH,138,40.69403101200004,-84.15202444599998,72.72727272727273
51258,SHAWVILLE 1,AGGREGATE,,147793,SHAWSVILLE,SHAWSVILLE,VA,138,37.14759537000003,-80.26555338599997,85.71428571428572
51258,SHAWVILLE 1,AGGREGATE,,144026,SAVILLE,CRUM LYNNE,PA,138,39.85614097100006,-75.34581623599996,77.77777777777779
51258,SHAWVILLE 1,AGGREGATE,,154281,HANVILLE,NORTH FAIRFIELD,OH,-999999,41.115683733000026,-82.61245452299994,73.6842105263158
51259,SHAWVILLE 3,AGGREGATE,,147793,SHAWSVILLE,SHAWSVILLE,VA,138,37.14759537000003,-80.26555338599997,85.71428571428572
51259,SHAWVILLE 3,AGGREGATE,,144026,SAVILLE,CRUM LYNNE,PA,138,39.85614097100006,-75.34581623599996,77.77777777777779
51259,SHAWVILLE 3,AGGREGATE,,154281,HANVILLE,NORTH FAIRFIELD,OH,-999999,41.115683733000026,-82.61245452299994,73.6842105263158
51262,SUNBURY 1-3,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,77.77777777777779
51263,SUNBURY 4,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,87.5
51264,SUNBURY BUS1E,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,70.0
51264,SUNBURY BUS1E,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,70.0
51265,SUNBURY BUS1W,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,70.0
51265,SUNBURY BUS1W,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,70.0
51266,SUNBURY BUS2E,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,70.0
51266,SUNBURY BUS2E,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,70.0
51267,SUNBURY BUS2W,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,70.0
51267,SUNBURY BUS2W,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,70.0
51268,SUNBURY CT,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,82.35294117647058
51269,SUNBURY DIES,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,73.6842105263158
51270,SUNBURY LBRG,AGGREGATE,,147498,SUNBURY,SELINSGROVE,PA,500,40.83624110100004,-76.82768482299997,73.6842105263158
51277,TRAYNOR,AGGREGATE,,143623,TRAYNOR,SUMMIT,NJ,230,40.73302080700006,-74.37883269499997,100.0
51277,TRAYNOR,AGGREGATE,,128218,TAYLOR,SEAFORD,DE,69,38.683790556000076,-75.61769761799997,76.92307692307692
51277,TRAYNOR,AGGREGATE,,151672,TAYLOR,REYNOLDSBURG,OH,138,39.97628508300005,-82.76792520599997,76.92307692307692
51280,VINELAND,AGGREGATE,,153932,HAVILAND,HAVILAND,OH,138,41.01622718500005,-84.59310856399998,75.0
51280,VINELAND,AGGREGATE,,140976,KINGSLAND,NORTH ARLINGTON,NJ,230,40.79192197000003,-74.11705482599996,70.58823529411764
51281,WALLENPAUPACK,AGGREGATE,,125623,WALLENPAUPACK,HAWLEY,PA,69,41.46785702600005,-75.13142240399998,100.0
51282,WARREN 1,AGGREGATE,,147901,WARRENTON,WARRENTON,VA,230,38.69742368000004,-77.76746381499999,70.58823529411764
51284,WAYNE CT,AGGREGATE,,134642,WAYNE,BARTLETT,IL,345,41.98274838400005,-88.24017071399999,76.92307692307692
51284,WAYNE CT,AGGREGATE,,146123,WAYNE,WARREN,PA,230,41.83580372400007,-79.19075529499997,76.92307692307692
51284,WAYNE CT,AGGREGATE,,146452,WAYNE,COCHRANTON,PA,345,41.51588408300006,-80.00972012699998,76.92307692307692
